Time,Ticker,Price,Size,Exchange
2017-04-20 10:30:00.000,XYZ,159.584,50.1288,A
2017-04-20 10:46:40.000,XYZ,142.954,79.7417,A
2017-04-20 11:03:20.000,XYZ,141.072,33.3679,A
2017-04-20 11:20:14.976,XYZ,150.46,74.2319,B
2017-04-20 11:36:40.000,XYZ,113.182,52.6367,A
2017-04-20 11:53:20.000,XYZ,132.104,68.8213,A
2017-04-20 12:10:15.214,XYZ,103.851,38.5765,B
2017-04-20 12:26:40.000,XYZ,193.268,72.305,A
2017-04-20 12:43:34.793,XYZ,186.143,53.0779,B
2017-04-20 13:00:00.000,XYZ,163.071,17.6645,A
2017-04-20 13:16:54.913,XYZ,151.85,93.0648,B
2017-04-20 13:33:20.000,XYZ,124.134,26.1596,A
2017-04-20 13:50:15.008,XYZ,103.487,45.6081,B
2017-04-20 14:06:54.899,XYZ,196.544,43.9497,B
2017-04-20 14:23:34.885,XYZ,177.028,49.7166,B
2017-04-20 14:40:15.029,XYZ,199.932,33.2638,B
2017-04-20 14:56:40.000,XYZ,155.384,20.779,A
2017-04-20 15:13:35.172,XYZ,137.697,98.8598,B
2017-04-20 15:30:00.000,XYZ,163.223,72.8257,A
2017-04-20 15:46:54.860,XYZ,175.225,31.7677,B
2017-04-20 16:03:34.947,XYZ,133.401,92.4181,B
2017-04-20 16:20:00.000,XYZ,122.05,8.73585,A
2017-04-20 16:36:40.000,XYZ,198.776,48.506,A
2017-04-20 16:53:20.000,XYZ,164.823,26.2464,A
2017-04-20 17:10:00.000,XYZ,189.208,96.1098,A
2017-04-20 17:26:54.946,XYZ,174,12.776,B
2017-04-20 17:43:35.189,XYZ,104.373,96.8663,B
2017-04-20 18:00:15.122,XYZ,111.165,64.988,B
2017-04-20 18:16:54.847,XYZ,146.263,43.3561,B
2017-04-20 18:33:34.854,XYZ,142.634,85.2098,B
2017-04-20 18:50:00.000,XYZ,188.085,85.2407,A
2017-04-20 19:06:40.000,XYZ,185.225,97.9151,A
2017-04-20 19:23:20.000,XYZ,147.356,65.8028,A
2017-04-20 19:40:00.000,XYZ,191.523,50.4479,A
2017-04-20 19:56:40.000,XYZ,164.29,51.0261,A
2017-04-20 20:13:34.914,XYZ,195.855,80.8543,B
2017-04-20 20:30:15.058,XYZ,158.025,5.48828,B
2017-04-20 20:46:55.066,XYZ,110.395,82.1466,B
2017-04-20 21:03:34.851,XYZ,161.432,53.5217,B
2017-04-20 21:20:00.000,XYZ,178.458,72.8262,A
2017-04-20 21:36:40.000,XYZ,119.341,38.3487,A
2017-04-20 21:53:34.937,XYZ,122.834,91.0884,B
2017-04-20 22:10:14.814,XYZ,138.937,15.6454,B
2017-04-20 22:26:54.884,XYZ,165.86,31.9194,B
2017-04-20 22:43:20.000,XYZ,119.324,43.8458,A
2017-04-20 23:00:15.039,XYZ,175.372,78.9659,B
2017-04-20 23:16:54.860,XYZ,141.063,25.11,B
2017-04-20 23:33:34.847,XYZ,166.339,5.54856,B
2017-04-20 23:50:15.034,XYZ,149.605,38.6043,B
2017-04-21 00:06:40.000,XYZ,108.531,63.4147,A
2017-04-21 00:23:35.016,XYZ,145.346,17.258,B
2017-04-21 00:40:15.030,XYZ,101.812,95.5763,B
2017-04-21 00:56:54.860,XYZ,111.018,27.0615,B
2017-04-21 01:13:34.855,XYZ,129.662,14.7498,B
2017-04-21 01:30:15.195,XYZ,123.792,48.1277,B
2017-04-21 01:46:55.012,XYZ,104.138,34.209,B
2017-04-21 02:03:35.015,XYZ,189.818,88.1642,B
2017-04-21 02:20:14.934,XYZ,133.853,20.1489,B
2017-04-21 02:36:55.088,XYZ,150.981,96.4783,B
2017-04-21 02:53:20.000,XYZ,141.016,52.0113,A
2017-04-21 03:10:15.008,XYZ,104.339,21.3413,B
2017-04-21 03:26:55.127,XYZ,128.615,88.5302,B
2017-04-21 03:43:20.000,XYZ,196.843,79.9034,A
2017-04-21 04:00:00.000,XYZ,153.106,37.2851,A
2017-04-21 04:16:55.009,XYZ,135.102,47.7221,B
2017-04-21 04:33:20.000,XYZ,181.628,40.0201,A
2017-04-21 04:50:00.000,XYZ,122.404,78.9821,A
2017-04-21 05:06:55.044,XYZ,103.521,60.1929,B
2017-04-21 05:23:34.959,XYZ,146.896,21.6506,B
2017-04-21 05:40:00.000,XYZ,151.555,46.5571,A
2017-04-21 05:56:40.000,XYZ,178.946,19.9577,A
2017-04-21 06:13:35.082,XYZ,118.289,22.9162,B
2017-04-21 06:30:00.000,XYZ,131.924,8.66607,A
